comment_text,y_prob,male,female,homosexual_gay_or_lesbian,christian,jewish,muslim,black,white
"OK, Jill, a young man and young woman get drunk together and then copulate.  Are they both guilty of sexual assault because they are both too drunk to consent?  The too drunk to consent situation drives me crazy...if it can work for sex, why not for driving!?",0.96580297,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"In one day, Fox News Offered 15 different reasons for tRump's disgusting treatment of women.

1. It's old news because everyone knows tRump treats women badly.
2. Obama went to Bill Ayers house.
3. When he was doing this stuff, he didn't think he would run for president.
4. Trump just loves women.
5. No one cares about tRump's personal life.
6. It's all a ply to distract people from the Obama/Clinton economy.
7. Bill Clinton!
8. This was a long time ago and tRump has done worse things to women recently.
9. It wasn't egregious.
10. It doesn't matter because people are voting for him for president, not husband.
11. You can find negative things about anyone.
12. Everyone already knows tRump is an immature jerk toward women.
13. Trump also treats women badly in public.
14. The New York Times is freaking out because Donald tRump is going to be president.
15. No one ever wrote an article about the nasty things people said about Sarah Palin.",0.9647889,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"By what constitutional authority will Trump do this?  

This is ALL talk, and will go nowhere, just like his plan to make Mexico pay for a wall, and his plan to deport all illegals, and his plan to bar Muslims from entry into the US. 
The rubes who vote for this demagog will be disappointed, when he can't fulfill his promises.",0.96171397,0.1666666666666666,0.0,0.0,0.0,0.0,0.8333333333333333,0.0,0.0
"as you know, being whatever sex you are, in that ""male"" or ""female"" persona....the opposite sex IS different...physically, of course, but psychologically too.  I have not heard many men sit down and say ""i am just gonna sit down and have a good cry...doesn't matter what you say or do, i'm just gonna cause I wanna.  it'll make me feel better""  the last sentence probably heard from mom...""make you feel better."" +++
 it's not crazy, or whiny, or hysterical.  i'm not grieving or sad....it's just emotion.   I have laughed so hard as to set off a little crying riff, chuckling also then. a few female friends & I have laughed about it -  it's probably hormone driven and bet happens now to jenner  - gets teary eyes sometimes... before treatment he wouldn't have. ultimately, being a woman is not solely defined by being a mom...having children, breast feeding, pregnancy.  all the traits one admires in another, and the style of exhibiting them probably define male and female as well as body parts.",0.9591926,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"No worse than ""Trump matters"" tee-shirts.

Understand why Donald Trump is so popular: middle-aged white men without college educations are dying in record numbers, and they’re killing themselves. 

Something startling is happening to middle-aged white Americans. Unlike every other age group, unlike every other racial and ethnic group, unlike their counterparts in other rich countries, death rates in this group have been rising, not falling.

The mortality rate for whites 45 to 54 years old with no more than a high school education increased by 134 deaths per 100,000 people from 1999 to 2014.

“It is difficult to find modern settings with survival losses of this magnitude,” wrote two Dartmouth economists, Ellen Meara and Jonathan S. Skinner, in a commentary to the Deaton-Case analysis to be published in Proceedings of the National Academy of Sciences.

Dr. Deaton had but one parallel. “Only H.I.V./AIDS in contemporary times has done anything like this.""

Ignorance is a slow killer.",0.95715785,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.8
The question was rhetorical. However I think that articles like this just serve to legitimize him. We would never give this kind of attention to someone saying racist things in the name of the church. Let's just let this bigot fade away into obscurity. His day is pretty much over. Gay marriage is legal everywhere. Those bigoted positions are fading away as their holders grow old and die.,0.9547741,0.1666666666666666,0.0,1.0,0.1666666666666666,0.0,0.0,0.0,0.0
"For argument's sake, assuming you're right that blackface is acceptable social behavior, that wouldn't invalidate her point that probably most people don't think it's okay. Her point was that if we were to use society's general acceptance of a behavior as a litmus test, blackface would most likely fail while sombreros would not.",0.9503189,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0
"This is literally one of the most offensive pieces of writing I've seen in a really long time. 
Beyond the absolute garbage about women ""making"" men have sexual thoughts with their clothing and men being essentially violence driven beings, the idea that pre-marital sex being more commen means that consent is assumed is insane. 

""she created the enhanced risk in the first place since in an age of more casual sex, the male is assuming consent.""

Ummmm.....just NO. There is no situation where consent for sex is assumed because you went in a room. The statement that a woman should be prepared to physically fight and scream to let a man know she isn't just giving her consent by being a woman wearing normal clothing is insane.",0.9341553,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"Right.  I recall when I lived in San Diego back in the 1980s, that the popular trend among 'conservative' white folks was to screech and flail about all the 'teen pregnancies' among black and brown folks.

Then an enterprising researcher actually tallied the relevant numbers.  The highest rate of teen pregnancy was among Valhalla High School's nearly all-white student body in suburban east county.  They also accounted for the vast majority of the abortions.

So once again we see ""...a beautiful theory sloppily murdered by one ugly little fact."" (Thomas H. Huxley)",0.91413754,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333333,0.6666666666666666
There has always been clear rules before. Born a girl compete with girls. Now we are making stuff up that is in natural. What a messed up world this has become.,0.90414387,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.1
Another female ISIL recruit.  Good thing she had a dull knife.,0.8990328,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0
"The charges in Nevada are far more serious.   I sure hope that we don't have a repeat of this in the Nevada case.  Let's hope they have an incompetent lawyer.   These men are all far too dangerous for them to be allowed to be a part of society.

Here is an article about their Nevada charges:

http://www.dcclothesline.com/2016/02/19/facing-up-to-96-years-in-prison-nevada-federal-grand-jury-indicts-cliven-bundy-and-four-others/",0.88832355,0.8333333333333333,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
"Old caveman picturegraph; hit em over the head and drag em into cave! No words, signs or grins needed!! Best way to be is make sure that you are genuine, most women are smart enough to see through smarmy, fake come-ons. Games people play!",0.87256473,0.3333333333333333,0.8333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
"So the Catholics, Baptists, and certain other religions want a free pass to discriminate against same sex marriages?  What's next, mixed race couples?  Maybe people with physical or mental issues?  You religious nut jobs make me worry about this country.",0.8500957,0.0,0.0,0.5,0.7,0.0,0.0,0.0,0.0
"Who do you think funds university systems and tax credits for Big Oil, Black?  Oh yeah, Mother Nature sprouts up money trees across the good U.S.A.  Proceed with your bigoted comments, Black.  Your name isn't Black either.  Haha",0.82900804,0.0,0.2,0.0,0.0,0.0,0.0,0.9,0.0
"I wonder why so many liberals parents taught them to use name calling as a way to make themselves seem larger or their point stronger.   I don't mind that people disagree with me .  I just laugh at the way their brains are so small they think name calling makes them appear larger than they really are.  People who have to call others names do so because they don't know how to make their point any other way.   And it's just not me. Look how they called Sullivan names---Danny Boy , Ohio Dan and other names. It backfired.   For reasons only known to them liberals think name calling or intentional mis-spelling a name helps their causes when it doesn't . With the gay rights vote they called everyone bigots and homophobes and worse . They were leading in the polls until the naming calling---and they lost. Think about it.",0.79182106,0.1666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Literally, the entire KKK and every other white supremacist group is endorsing him.
If a = b and b = c, then a =c.",0.7783967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Good luck Charlie!  You have no idea the unbelievable ground game the Dem.s are about to unleash.  All the Howard Stern shows with Trump's own misogynous words---today's USA show women view Trump unfavorable by 76%.  
Stronger?  Maybe in your world and Alaska's puny three Electoral College votes don't mean squat.",0.73597383,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"It was not just the effects of a Jewish dominated liberal crusade and boycotts against apartheid which put South Africa six feet under: The African National Congress, whose political agitation, murder and brutality was a major problem for the white dominated South African government, was a communist terrorist organization, and the communist party in South Africa was headed by Joe Slovo, an immigrant Jew and intimate of communist terrorist Nelson Mandela.

Since the arrival of 'democracy', South Africa has virtually collapsed into a state of chaos: Corruption is rampant (overseen by a police force in which corruption is now the norm), utilities and other government services are virtually nonexistent.

But the Jewish role in the destabilization of white South Africa goes back at least to the Boer War, which was instigated over South African minerals, and which resulted in Jewish domination of South African mineral industries. Just saying...",0.68594944,0.1,0.0,0.0,0.0,0.8,0.0,0.1,0.7
Straw man.,0.63329685,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Unlike Saffron Colonial the Willamette Week are not glorifying the occupation of the native land. Saffron Colonial actively glorifies a time that was at the height of the oppression. I am not opposed to the word 'colonial' as a descriptor, I oppose to it as a style. Did you think Paula Deen's plantation themed wedding was ok?? This is the issue here... White people romanticizing a time that still has very recent scars for the people descended from it.",0.60100824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333333
"That ""genius"" was a white guy in the US government who forced Alaska's Natives to give up their nomadic way of life in that region. He shouldn't be too hard to track down. Are you working on that?",0.55825174,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.8
"Holy smokes!

This is confusing because we were told repeatedly by Ted Cruz’s family that God TOLD him to run and now he’s up and quit. I’m no theologian but it seems to me that folks who disobey direct orders from God never come to a good ending. There very well could be some smiting in Ted’s not-so-distant future. All I can say is that I wouldn’t want to stand too near him in a thunder storm.

Anywho… More importantly to America, where does the Christianist vote go now?? Surely not to Donald Trump, who has already extolled the virtues of Planned Parenthood and a desire to not kill off all The Gays. It’s a bit of a conundrum.",0.5315447,0.0,0.0,0.7,0.6,0.0,0.0,0.0,0.0
If a woman agrees to meet a man for sex...before she knows him...I don't get what's she expects. Talk about desperate???,0.5302441,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
How do you test for being a Muslim?,0.5288908,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
